Program,Year,State,State ANSI,County,County ANSI,Commodity,Data Item,Value
SURVEY,2021,MINNESOTA,27,MEEKER,93,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",45.2
SURVEY,2021,MINNESOTA,27,MEEKER,93,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",380
SURVEY,2021,MINNESOTA,27,MEEKER,93,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",400
SURVEY,2021,MINNESOTA,27,MEEKER,93,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","11,900"
SURVEY,2021,MINNESOTA,27,MEEKER,93,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",31.3
SURVEY,2021,MINNESOTA,27,MORRISON,97,CORN,CORN - ACRES PLANTED,"103,000"
SURVEY,2021,MINNESOTA,27,MORRISON,97,CORN,"CORN, GRAIN - ACRES HARVESTED","68,300"
SURVEY,2021,MINNESOTA,27,MORRISON,97,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","7,588,000"
SURVEY,2021,MINNESOTA,27,MORRISON,97,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",111.1
SURVEY,2021,MINNESOTA,27,MORRISON,97,OATS,OATS - ACRES HARVESTED,"1,420"
SURVEY,2021,MINNESOTA,27,MORRISON,97,OATS,OATS - ACRES PLANTED,"4,700"
SURVEY,2021,MINNESOTA,27,MORRISON,97,OATS,"OATS - PRODUCTION, MEASURED IN BU","38,500"
SURVEY,2021,MINNESOTA,27,MORRISON,97,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",27.1
SURVEY,2021,MINNESOTA,27,MORRISON,97,SOYBEANS,SOYBEANS - ACRES HARVESTED,"35,800"
SURVEY,2021,MINNESOTA,27,MORRISON,97,SOYBEANS,SOYBEANS - ACRES PLANTED,"36,200"
SURVEY,2021,MINNESOTA,27,MORRISON,97,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","1,103,000"
SURVEY,2021,MINNESOTA,27,MORRISON,97,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",30.8
SURVEY,2021,MINNESOTA,27,MORRISON,97,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",560
SURVEY,2021,MINNESOTA,27,MORRISON,97,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",700
SURVEY,2021,MINNESOTA,27,MORRISON,97,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","13,900"
SURVEY,2021,MINNESOTA,27,MORRISON,97,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",24.8
SURVEY,2021,MINNESOTA,27,RENVILLE,129,CORN,CORN - ACRES PLANTED,"252,000"
SURVEY,2021,MINNESOTA,27,RENVILLE,129,CORN,"CORN, GRAIN - ACRES HARVESTED","245,000"
SURVEY,2021,MINNESOTA,27,RENVILLE,129,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","43,421,000"
SURVEY,2021,MINNESOTA,27,RENVILLE,129,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",177.2
SURVEY,2021,MINNESOTA,27,RENVILLE,129,CORN,"CORN, SILAGE - ACRES HARVESTED","3,990"
SURVEY,2021,MINNESOTA,27,RENVILLE,129,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","88,000"
SURVEY,2021,MINNESOTA,27,RENVILLE,129,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",22
SURVEY,2021,MINNESOTA,27,RENVILLE,129,SOYBEANS,SOYBEANS - ACRES HARVESTED,"189,600"
SURVEY,2021,MINNESOTA,27,RENVILLE,129,SOYBEANS,SOYBEANS - ACRES PLANTED,"191,500"
SURVEY,2021,MINNESOTA,27,RENVILLE,129,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","9,897,000"
SURVEY,2021,MINNESOTA,27,RENVILLE,129,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",52.2
SURVEY,2021,MINNESOTA,27,RENVILLE,129,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","1,350"
SURVEY,2021,MINNESOTA,27,RENVILLE,129,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","1,400"
SURVEY,2021,MINNESOTA,27,RENVILLE,129,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","77,600"
SURVEY,2021,MINNESOTA,27,RENVILLE,129,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",57.5
SURVEY,2021,MINNESOTA,27,SCOTT,139,CORN,CORN - ACRES PLANTED,"35,600"
SURVEY,2021,MINNESOTA,27,SCOTT,139,CORN,"CORN, GRAIN - ACRES HARVESTED","33,600"
SURVEY,2021,MINNESOTA,27,SCOTT,139,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","6,754,000"
SURVEY,2021,MINNESOTA,27,SCOTT,139,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",201
SURVEY,2021,MINNESOTA,27,SCOTT,139,CORN,"CORN, SILAGE - ACRES HARVESTED","1,530"
SURVEY,2021,MINNESOTA,27,SCOTT,139,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","38,300"
SURVEY,2021,MINNESOTA,27,SCOTT,139,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",25
SURVEY,2021,MINNESOTA,27,SCOTT,139,SOYBEANS,SOYBEANS - ACRES HARVESTED,"32,800"
SURVEY,2021,MINNESOTA,27,SCOTT,139,SOYBEANS,SOYBEANS - ACRES PLANTED,"33,100"
SURVEY,2021,MINNESOTA,27,SCOTT,139,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","2,050,000"
SURVEY,2021,MINNESOTA,27,SCOTT,139,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",62.5
SURVEY,2021,MINNESOTA,27,SCOTT,139,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",100
SURVEY,2021,MINNESOTA,27,SCOTT,139,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",100
SURVEY,2021,MINNESOTA,27,SCOTT,139,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","4,300"
SURVEY,2021,MINNESOTA,27,SCOTT,139,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",43
SURVEY,2021,MINNESOTA,27,SHERBURNE,141,CORN,CORN - ACRES PLANTED,"28,600"
SURVEY,2021,MINNESOTA,27,SHERBURNE,141,CORN,"CORN, GRAIN - ACRES HARVESTED","26,600"
SURVEY,2021,MINNESOTA,27,SHERBURNE,141,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","4,477,000"
SURVEY,2021,MINNESOTA,27,SHERBURNE,141,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",168.3
SURVEY,2021,MINNESOTA,27,SHERBURNE,141,CORN,"CORN, SILAGE - ACRES HARVESTED","1,630"
SURVEY,2021,MINNESOTA,27,SHERBURNE,141,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","22,000"
SURVEY,2021,MINNESOTA,27,SHERBURNE,141,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",13.5
SURVEY,2021,MINNESOTA,27,SHERBURNE,141,SOYBEANS,SOYBEANS - ACRES HARVESTED,"15,700"
SURVEY,2021,MINNESOTA,27,SHERBURNE,141,SOYBEANS,SOYBEANS - ACRES PLANTED,"16,000"
SURVEY,2021,MINNESOTA,27,SHERBURNE,141,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","532,000"
SURVEY,2021,MINNESOTA,27,SHERBURNE,141,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",33.9
SURVEY,2021,MINNESOTA,27,SIBLEY,143,CORN,CORN - ACRES PLANTED,"157,500"
SURVEY,2021,MINNESOTA,27,SIBLEY,143,CORN,"CORN, GRAIN - ACRES HARVESTED","149,900"
SURVEY,2021,MINNESOTA,27,SIBLEY,143,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","30,565,000"
SURVEY,2021,MINNESOTA,27,SIBLEY,143,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",203.9
SURVEY,2021,MINNESOTA,27,SIBLEY,143,OATS,OATS - ACRES HARVESTED,270
SURVEY,2021,MINNESOTA,27,SIBLEY,143,OATS,OATS - ACRES PLANTED,"1,000"
SURVEY,2021,MINNESOTA,27,SIBLEY,143,OATS,"OATS - PRODUCTION, MEASURED IN BU","17,100"
SURVEY,2021,MINNESOTA,27,SIBLEY,143,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",63.3
SURVEY,2021,MINNESOTA,27,SIBLEY,143,SOYBEANS,SOYBEANS - ACRES HARVESTED,"118,000"
SURVEY,2021,MINNESOTA,27,SIBLEY,143,SOYBEANS,SOYBEANS - ACRES PLANTED,"119,000"
SURVEY,2021,MINNESOTA,27,SIBLEY,143,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","7,115,000"
SURVEY,2021,MINNESOTA,27,SIBLEY,143,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",60.3
SURVEY,2021,MINNESOTA,27,SIBLEY,143,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED",380
SURVEY,2021,MINNESOTA,27,SIBLEY,143,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED",400
SURVEY,2021,MINNESOTA,27,SIBLEY,143,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","22,300"
SURVEY,2021,MINNESOTA,27,SIBLEY,143,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",58.7
SURVEY,2021,MINNESOTA,27,STEARNS,145,CORN,CORN - ACRES PLANTED,"227,000"
SURVEY,2021,MINNESOTA,27,STEARNS,145,CORN,"CORN, GRAIN - ACRES HARVESTED","180,800"
SURVEY,2021,MINNESOTA,27,STEARNS,145,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","26,939,000"
SURVEY,2021,MINNESOTA,27,STEARNS,145,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",149
SURVEY,2021,MINNESOTA,27,STEARNS,145,OATS,OATS - ACRES HARVESTED,"8,520"
SURVEY,2021,MINNESOTA,27,STEARNS,145,OATS,OATS - ACRES PLANTED,"18,600"
SURVEY,2021,MINNESOTA,27,STEARNS,145,OATS,"OATS - PRODUCTION, MEASURED IN BU","350,000"
SURVEY,2021,MINNESOTA,27,STEARNS,145,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",41.1
SURVEY,2021,MINNESOTA,27,STEARNS,145,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","1,810"
SURVEY,2021,MINNESOTA,27,STEARNS,145,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","2,000"
SURVEY,2021,MINNESOTA,27,STEARNS,145,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","67,500"
SURVEY,2021,MINNESOTA,27,STEARNS,145,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",37.3
SURVEY,2021,MINNESOTA,27,TODD,153,CORN,CORN - ACRES PLANTED,"84,600"
SURVEY,2021,MINNESOTA,27,TODD,153,CORN,"CORN, GRAIN - ACRES HARVESTED","71,600"
SURVEY,2021,MINNESOTA,27,TODD,153,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","9,387,000"
SURVEY,2021,MINNESOTA,27,TODD,153,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",131.1
SURVEY,2021,MINNESOTA,27,TODD,153,CORN,"CORN, SILAGE - ACRES HARVESTED","11,900"
SURVEY,2021,MINNESOTA,27,TODD,153,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","190,000"
SURVEY,2021,MINNESOTA,27,TODD,153,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",16
SURVEY,2021,MINNESOTA,27,TODD,153,OATS,OATS - ACRES HARVESTED,"2,950"
SURVEY,2021,MINNESOTA,27,TODD,153,OATS,OATS - ACRES PLANTED,"6,200"
SURVEY,2021,MINNESOTA,27,TODD,153,OATS,"OATS - PRODUCTION, MEASURED IN BU","108,000"
SURVEY,2021,MINNESOTA,27,TODD,153,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",36.6
SURVEY,2021,MINNESOTA,27,TODD,153,SOYBEANS,SOYBEANS - ACRES HARVESTED,"55,000"
SURVEY,2021,MINNESOTA,27,TODD,153,SOYBEANS,SOYBEANS - ACRES PLANTED,"55,400"
SURVEY,2021,MINNESOTA,27,TODD,153,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","2,024,000"
SURVEY,2021,MINNESOTA,27,TODD,153,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",36.8
SURVEY,2021,MINNESOTA,27,TODD,153,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","1,980"
SURVEY,2021,MINNESOTA,27,TODD,153,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","2,200"
SURVEY,2021,MINNESOTA,27,TODD,153,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","49,900"
SURVEY,2021,MINNESOTA,27,TODD,153,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",25.2
SURVEY,2021,MINNESOTA,27,WADENA,159,CORN,CORN - ACRES PLANTED,"22,500"
SURVEY,2021,MINNESOTA,27,WADENA,159,CORN,"CORN, GRAIN - ACRES HARVESTED","12,200"
SURVEY,2021,MINNESOTA,27,WADENA,159,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","1,717,000"
SURVEY,2021,MINNESOTA,27,WADENA,159,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",140.7
SURVEY,2021,MINNESOTA,27,WADENA,159,CORN,"CORN, SILAGE - ACRES HARVESTED","9,970"
SURVEY,2021,MINNESOTA,27,WADENA,159,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","75,000"
SURVEY,2021,MINNESOTA,27,WADENA,159,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",7.5
SURVEY,2021,MINNESOTA,27,WADENA,159,SOYBEANS,SOYBEANS - ACRES HARVESTED,"11,000"
SURVEY,2021,MINNESOTA,27,WADENA,159,SOYBEANS,SOYBEANS - ACRES PLANTED,"11,800"
SURVEY,2021,MINNESOTA,27,WADENA,159,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","395,000"
SURVEY,2021,MINNESOTA,27,WADENA,159,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",35.9
SURVEY,2021,MINNESOTA,27,WADENA,159,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","1,240"
SURVEY,2021,MINNESOTA,27,WADENA,159,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","1,300"
SURVEY,2021,MINNESOTA,27,WADENA,159,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","19,300"
SURVEY,2021,MINNESOTA,27,WADENA,159,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",15.6
SURVEY,2021,MINNESOTA,27,WRIGHT,171,CORN,CORN - ACRES PLANTED,"81,000"
SURVEY,2021,MINNESOTA,27,WRIGHT,171,CORN,"CORN, GRAIN - ACRES HARVESTED","76,600"
SURVEY,2021,MINNESOTA,27,WRIGHT,171,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","11,092,000"
SURVEY,2021,MINNESOTA,27,WRIGHT,171,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",144.8
SURVEY,2021,MINNESOTA,27,WRIGHT,171,OATS,OATS - ACRES HARVESTED,"1,350"
SURVEY,2021,MINNESOTA,27,WRIGHT,171,OATS,OATS - ACRES PLANTED,"2,600"
SURVEY,2021,MINNESOTA,27,WRIGHT,171,OATS,"OATS - PRODUCTION, MEASURED IN BU","65,600"
SURVEY,2021,MINNESOTA,27,WRIGHT,171,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",48.6
SURVEY,2021,MINNESOTA,27,WRIGHT,171,SOYBEANS,SOYBEANS - ACRES HARVESTED,"71,100"
SURVEY,2021,MINNESOTA,27,WRIGHT,171,SOYBEANS,SOYBEANS - ACRES PLANTED,"71,600"
SURVEY,2021,MINNESOTA,27,WRIGHT,171,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","3,278,000"
SURVEY,2021,MINNESOTA,27,WRIGHT,171,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",46.1
SURVEY,2021,MINNESOTA,27,WRIGHT,171,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES HARVESTED","1,110"
SURVEY,2021,MINNESOTA,27,WRIGHT,171,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - ACRES PLANTED","1,200"
SURVEY,2021,MINNESOTA,27,WRIGHT,171,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - PRODUCTION, MEASURED IN BU","51,200"
SURVEY,2021,MINNESOTA,27,WRIGHT,171,WHEAT,"WHEAT, SPRING, (EXCL DURUM) - YIELD, MEASURED IN BU / ACRE",46.1
SURVEY,2021,MINNESOTA,27,AITKIN,1,CORN,CORN - ACRES PLANTED,"1,700"
SURVEY,2021,MINNESOTA,27,AITKIN,1,CORN,"CORN, GRAIN - ACRES HARVESTED",800
SURVEY,2021,MINNESOTA,27,AITKIN,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","76,000"
SURVEY,2021,MINNESOTA,27,AITKIN,1,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",95
SURVEY,2021,MINNESOTA,27,AITKIN,1,CORN,"CORN, SILAGE - ACRES HARVESTED",880
SURVEY,2021,MINNESOTA,27,AITKIN,1,CORN,"CORN, SILAGE - PRODUCTION, MEASURED IN TONS","7,500"
SURVEY,2021,MINNESOTA,27,AITKIN,1,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",8.5
SURVEY,2021,MINNESOTA,27,AITKIN,1,OATS,OATS - ACRES HARVESTED,290
SURVEY,2021,MINNESOTA,27,AITKIN,1,OATS,OATS - ACRES PLANTED,500
SURVEY,2021,MINNESOTA,27,AITKIN,1,OATS,"OATS - PRODUCTION, MEASURED IN BU","7,800"
SURVEY,2021,MINNESOTA,27,AITKIN,1,OATS,"OATS - YIELD, MEASURED IN BU / ACRE",26.9
SURVEY,2021,MINNESOTA,27,ANOKA,3,CORN,CORN - ACRES PLANTED,"5,400"
SURVEY,2021,MINNESOTA,27,ANOKA,3,CORN,"CORN, GRAIN - ACRES HARVESTED","4,100"
SURVEY,2021,MINNESOTA,27,ANOKA,3,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU","460,000"
SURVEY,2021,MINNESOTA,27,ANOKA,3,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",112.2
SURVEY,2021,MINNESOTA,27,ANOKA,3,SOYBEANS,SOYBEANS - ACRES HARVESTED,"3,370"
SURVEY,2021,MINNESOTA,27,ANOKA,3,SOYBEANS,SOYBEANS - ACRES PLANTED,"3,400"
SURVEY,2021,MINNESOTA,27,ANOKA,3,SOYBEANS,"SOYBEANS - PRODUCTION, MEASURED IN BU","116,000"
SURVEY,2021,MINNESOTA,27,ANOKA,3,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",34.4
